WRN 2026-02-26T22:10:42.081 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:10:42.081 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:10:42.082 ui.27010   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:14:23.229 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:14:23.229 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:14:23.230 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:14:23.230 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:14:23.230 ui.27432   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:15:12.475 ui.27695   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:15:12.475 ui.27695   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:15:12.476 ui.27695   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:15:12.476 ui.27695   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:15:12.476 ui.27695   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:15:27.568 ui.28040   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:15:27.569 ui.28040   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:15:27.569 ui.28040   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:15:27.569 ui.28040   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:15:27.569 ui.28040   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:18:42.383 ui.28423   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:18:42.384 ui.28423   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:18:42.384 ui.28423   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
WRN 2026-02-26T22:18:42.384 ui.28423   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-02-26T22:18:42.385 ui.28423   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-02-26T22:20:03.938 ui.28779   tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-02-26T22:20:03.938 ui.28779   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-02-26T22:20:03.938 ui.28779   tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 1
